strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,expiry_date,direction,active,personal_acc,parameter_5,value_5
BOLL_BAND_REVERSION_4H_WBTC,1,period,70,kstd,150,atr_period,5,stop_range,4,100,2024-02-05 23:45:58.01079-05,2024-02-05 23:45:58.01079-05,WBTC,BOLL_BAND_REVERSION_4H,,long,t,t,,
BOLL_BAND_REVERSION_4H_XRP,0.53,period,60,kstd,325,atr_period,5,stop_range,4,99,2024-02-05 22:15:28.615863-05,2024-02-05 22:15:28.615863-05,XRP,BOLL_BAND_REVERSION_4H,,long,t,,,
MACD_CROSSOVER_SHORT_SHIB,0.82,slowLength,25,fastLength,20,atr_period,10,stop_range,3,67,2024-02-03 01:24:19.913688-05,2024-02-03 01:24:19.913688-05,SHIB,MACD_CROSSOVER_SHORT,2024-08-01 01:00:00-04,short,t,,signal_length,5
MACD_CROSSOVER_SHORT_CAKE,1,slowLength,85,fastLength,70,atr_period,10,stop_range,3,68,2024-02-03 01:24:19.913688-05,2024-02-03 01:24:19.913688-05,CAKE,MACD_CROSSOVER_SHORT,2024-09-29 01:00:00-04,short,t,,signal_length,15
MACD_CROSSOVER_SHORT_FLOW,1,slowLength,85,fastLength,80,atr_period,10,stop_range,4,69,2024-02-03 01:29:38.19656-05,2024-02-03 01:29:38.19656-05,FLOW,MACD_CROSSOVER_SHORT,2025-01-27 00:00:00-05,short,t,t,signal_length,15
MACD_CROSSOVER_SHORT_DOGE,0.24,slowLength,80,fastLength,75,atr_period,15,stop_range,2,66,2024-02-03 01:19:29.922924-05,2024-02-03 01:19:29.922924-05,DOGE,MACD_CROSSOVER_SHORT,2024-11-09 00:00:00-05,short,t,,signal_length,10
SMA_CROSSOVER_4H_APT,0.26,slowLength,40,fastLength,20,atr_period,5,stop_range,4,84,2024-02-05 15:41:16.065875-05,2024-02-05 15:41:16.065875-05,APT,SMA_CROSSOVER_4H,,long,t,,,
SMA_CROSSOVER_4H_EGLD,0.59,slowLength,65,fastLength,60,atr_period,10,stop_range,2,83,2024-02-05 15:40:09.916135-05,2024-02-05 15:40:09.916135-05,EGLD,SMA_CROSSOVER_4H,,long,t,,,
SMA_CROSSOVER_4H_NEAR,0.43,slowLength,45,fastLength,40,atr_period,25,stop_range,2,82,2024-02-05 15:33:48.698027-05,2024-02-05 15:33:48.698027-05,NEAR,SMA_CROSSOVER_4H,,long,t,,,
SMA_CROSSOVER_4H_FXS,0.63,slowLength,90,fastLength,80,atr_period,30,stop_range,4,81,2024-02-05 15:15:03.736467-05,2024-02-05 15:15:03.736467-05,FXS,SMA_CROSSOVER_4H,,long,t,,,
SMA_CROSSOVER_4H_ARB,0.31,slowLength,40,fastLength,10,atr_period,15,stop_range,3,80,2024-02-05 15:13:43.120905-05,2024-02-05 15:13:43.120905-05,ARB,SMA_CROSSOVER_4H,,long,t,,,
SMA_CROSSOVER_SHORT_4H_SHIB,1,slowLength,60,fastLength,45,atr_period,25,stop_range,4,89,2024-02-05 16:19:24.65278-05,2024-02-05 16:19:24.65278-05,SHIB,SMA_CROSSOVER_SHORT_4H,,short,t,,,
SMA_CROSSOVER_SHORT_4H_AVAX,0.84,slowLength,60,fastLength,35,atr_period,20,stop_range,2,88,2024-02-05 16:19:24.65278-05,2024-02-05 16:19:24.65278-05,AVAX,SMA_CROSSOVER_SHORT_4H,,short,t,,,
