strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,direction,active,personal_acc,parameter_5,value_5,backtest_period,wfe,sr,l_sr,b_sr,win_rate,trd_num,sim_ret,lev_ret,bnh_ret,sim_mdd,lev_mdd,bnh_mdd,lev_add,bnh_add,expos,leverage,timeframe,is_lev,sim_add
STOCH_OSCILL_MOMENTUM_LONG_1D_STETH,0.76,,,,,,,,,811,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,STETH,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,t,,,20230412,0.18,2.7,0,1.39,100,4,41.4,0,86.2,-4,0,-27.34,0,-6.53,15.34,1,1D,,-1.26
SMA_CROSSOVER_LONG_1D_VET,0.75,,,,,,,,,816,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,VET,SMA_CROSSOVER_LONG_1D,LONG,t,t,,,20230412,-0.06,1.78,0,1.1,60,5,62.4,0,87.8,-9.3,0,-44.64,0,-13.13,18.63,1,1D,,-3.86
BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D_CRO,0.68,,,,,,,,,828,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,CRO,BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D,LONG,t,t,,,20220413,-0.36,1.45,0,-0.29,83.3,6,115.8,0,-66,-31.2,0,-88.24,0,-44.82,24.66,1,1D,,-7.24
BTC_SOPR_MOMENTUM_LONG_1D_TRX,0.82,,,,,,,,,299,2024-03-10 10:50:56.528826-04,2024-03-10 10:50:56.528826-04,TRX,BTC_SOPR_MOMENTUM_LONG_1D,LONG,t,,,,20230207,0.34,1.33,1.22,1.01,66.7,6,26.3,47.8,83.8,-6.1,-9.69,-20.19,-4.79,0,25.75,1.72,1D,f,
BOLL_BAND_MOMENTUM_LONG_1D_SOL,0.61,,,,,,,,,276,2024-03-09 06:58:58.992834-05,2024-03-09 06:58:58.992834-05,SOL,BOLL_BAND_MOMENTUM_LONG_1D,LONG,t,,,,20230308,0.06,1.59,0.8,0.82,60,10,88.9,477.8,645.8,-11.7,-27,-42.88,-13.06,0,23.01,3.45,1D,f,
STOCH_OSCILL_MOMENTUM_LONG_4H_AGIX,0.42,,,,,,,,,521,2024-03-14 04:13:45.04544-04,2024-03-14 04:13:45.04544-04,AGIX,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,t,,,,20240107,-0.06,1.76,0.18,0.31,62.5,16,37.3,218.6,332.1,-4,-14.1,-25.44,-7.59,-6.29,49.59,4,4H,f,
STOCH_OSCILL_MOMENTUM_LONG_4H_ONE,0.32,,,,,,,,,504,2024-03-14 04:13:45.04544-04,2024-03-14 04:13:45.04544-04,ONE,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,t,t,,,20231107,0.63,2.21,0.86,0.7,64.3,14,25.7,115.8,152.1,-13.8,-45.49,-41.7,-8.43,-7.78,43.97,4.17,4H,f,
BOLL_BAND_MOMENTUM_WEMIX,0.86,period,35,kstd,3,atr_period,5,stop_range,2,37,2024-01-27 07:28:20.260492-05,2024-01-27 07:28:20.260492-05,WEMIX,BOLL_BAND_MOMENTUM,long,t,t,,,,,,,,,,,,,,,,,,,,,,
SMA_CROSSOVER_LONG_1D_WBTC,0.71,,,,,,,,,290,2024-03-09 06:58:58.992834-05,2024-03-09 06:58:58.992834-05,WBTC,SMA_CROSSOVER_LONG_1D,LONG,t,t,,,20230308,0.1,1.53,0.95,1.43,77.8,9,52.7,163,207.4,-12.8,-35.94,-20.09,-8.85,0,33.7,2.86,1D,f,
STOCH_OSCILL_MOMENTUM_LONG_4H_FIL,0.34,,,,,,,,,500,2024-03-14 04:13:45.04544-04,2024-03-14 04:13:45.04544-04,FIL,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,t,,,,20231107,0.47,1.84,0.93,0.67,55.6,18,21.6,82,124.8,-6.4,-19.61,-39.45,-8.2,-8.83,34.25,3.33,4H,f,
STOCH_OSCILL_MOMENTUM_LONG_4H_AAVE,0.54,,,,,,,,,505,2024-03-14 04:13:45.04544-04,2024-03-14 04:13:45.04544-04,AAVE,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,t,,,,20240107,-0.38,1.85,0.85,0.89,50,12,8,32.2,30.2,-7.1,-24.3,-28.77,-12.94,-10.68,41.37,4.17,4H,f,
STOCH_OSCILL_MOMENTUM_LONG_4H_WLD,0.25,,,,,,,,,506,2024-03-14 04:13:45.04544-04,2024-03-14 04:13:45.04544-04,WLD,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,t,,,,20240107,0.09,1.71,0.84,0.27,48,25,9.7,31.8,155.1,-7.6,-23.6,-33.09,-6.69,-8.69,50.14,3.33,4H,f,
